"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"R56","0603_R","66.2258mm","87.9094mm","66.2258mm","87.9094mm","65.4558mm","87.9094mm","T","360.00","0次 (0R0) ㊣1%"
"R55","1206_R","86.7524mm","73.792mm","86.7524mm","73.792mm","85.2624mm","73.792mm","T","360.00","1次 (1R00) ㊣1%"
"R54","1206_R","86.7524mm","70.6932mm","86.7524mm","70.6932mm","88.2424mm","70.6932mm","T","180.00","1次 (1R00) ㊣1%"
"R53","0603_R","87.6668mm","82.2248mm","87.6668mm","82.2248mm","86.8968mm","82.2248mm","T","360.00","30K次 (3002) ㊣1%"
"R52","0603_R","81.7152mm","80.1928mm","81.7152mm","80.1928mm","80.9452mm","80.1928mm","T","360.00","NC"
"R51","0603_R","87.63mm","80.1116mm","87.63mm","80.1116mm","86.86mm","80.1116mm","T","0.00","NC"
"R50","0603_R","81.766mm","77.9576mm","81.766mm","77.9576mm","80.996mm","77.9576mm","T","360.00","NC"
"R49","0603_R","77.9018mm","80.1878mm","77.9018mm","80.1878mm","77.1318mm","80.1878mm","T","360.00","NC"
"R48","0603_R","87.6554mm","77.9018mm","87.6554mm","77.9018mm","86.8854mm","77.9018mm","T","360.00","31.6K次"
"R47","脣璃褫覃萇郯_3362P","73.0872mm","84.333mm","75.6272mm","85.603mm","75.6272mm","85.603mm","T","360.00","RPot"
"R44","0603_R","77.8684mm","78.105mm","77.8684mm","78.105mm","77.0984mm","78.105mm","T","360.00","11K次 (1102) ㊣1%"
"R2","0603_R","66.2038mm","85.6284mm","66.2038mm","85.6284mm","65.4338mm","85.6284mm","T","0.00","5.1K次 (5101) ㊣1%"
"R42","0805_R","82.1296mm","73.3348mm","82.1296mm","73.3348mm","81.2396mm","73.3348mm","T","360.00","0次 (0R0) ㊣1%"
"C2","0603_C","70.471mm","74.8254mm","70.471mm","74.8254mm","70.471mm","75.5954mm","T","270.00","100nF (104) 10% 50V"
